Litob_id,Length,Width,Height,Rib count,Length (Hinge Line),Distance Umbos
20102,41.5,35.1,32.1,19,22.05,4.05
30102,41.5,35.1,32.1,19,22.05,4.05
40102,41.5,35.1,32.1,19,22.05,4.05
50102,41.5,35.1,32.1,19,22.05,4.05
60102,41.5,35.1,32.1,19,22.05,4.05
10103,43.05,33.05,30.55,20,24.55,2.1
20103,43.05,33.05,30.55,20,24.55,2.1
30103,43.05,33.05,30.55,20,24.55,2.1
40103,43.05,33.05,30.55,20,24.55,2.1
50103,43.05,33.05,30.55,20,24.55,2.1
60103,43.05,33.05,30.55,20,24.55,2.1
10104,47.5,35.05,32.5,19,29.05,4.05
20104,47.5,35.05,32.5,19,29.05,4.05
30104,47.5,35.05,32.5,19,29.05,4.05
40104,47.5,35.05,32.5,19,29.05,4.05
50104,47.5,35.05,32.5,19,29.05,4.05
60104,47.5,35.05,32.5,19,29.05,4.05
10105,51.7,40.55,37.05,19,34.55,3.05
20105,51.7,40.55,37.05,19,34.55,3.05
30105,51.7,40.55,37.05,19,34.55,3.05
40105,51.7,40.55,37.05,19,34.55,3.05
50105,51.7,40.55,37.05,19,34.55,3.05
60105,51.7,40.55,37.05,19,34.55,3.05
10106,,,,,,
20106,,,,,,
30106,,,,,,
40106,,,,,,
50106,,,,,,
60106,,,,,,
10107,,,,,,
20107,,,,,,
30107,,,,,,
40107,,,,,,
50107,,,,,,
60107,,,,,,
10108,,,,,,
20108,,,,,,
30108,,,,,,
40108,,,,,,
50108,,,,,,
60108,,,,,,
10109,,,,,,
20109,,,,,,
30109,,,,,,
40109,,,,,,
50109,,,,,,
60109,,,,,,
10110,,,,,,
20110,,,,,,
30110,,,,,,
40110,,,,,,
50110,,,,,,
60110,,,,,,
10111,,,,,,
20111,,,,,,
30111,,,,,,
40111,,,,,,
50111,,,,,,
60111,,,,,,
10112,,,,,,
20112,,,,,,
30112,,,,,,
40112,,,,,,
50112,,,,,,
60112,,,,,,
10113,,,,,,
20113,,,,,,
30113,,,,,,
40113,,,,,,
50113,,,,,,
60113,,,,,,
10114,,,,,,
20114,,,,,,
30114,,,,,,
40114,,,,,,
50114,,,,,,
60114,,,,,,
10115,,,,,,
20115,,,,,,
30115,,,,,,
40115,,,,,,
50115,,,,,,
60115,,,,,,
10116,,,,,,
20116,,,,,,
30116,,,,,,
40116,,,,,,
50116,,,,,,
60116,,,,,,
10117,,,,,,
20117,,,,,,
30117,,,,,,
40117,,,,,,
50117,,,,,,
60117,,,,,,
10118,,,,,,
20118,,,,,,
30118,,,,,,
40118,,,,,,
50118,,,,,,
60118,,,,,,
10119,,,,,,
20119,,,,,,
30119,,,,,,
40119,,,,,,
50119,,,,,,
60119,,,,,,
10120,,,,,,
20120,,,,,,
30120,,,,,,
40120,,,,,,
50120,,,,,,
60120,,,,,,
10121,,,,,,
20121,,,,,,
30121,,,,,,
40121,,,,,,
50121,,,,,,
60121,,,,,,
10122,,,,,,
20122,,,,,,
30122,,,,,,
40122,,,,,,
50122,,,,,,
60122,,,,,,
10123,,,,,,
20123,,,,,,
30123,,,,,,
40123,,,,,,
50123,,,,,,
60123,,,,,,
10124,,,,,,
20124,,,,,,
30124,,,,,,
40124,,,,,,
50124,,,,,,
60124,,,,,,
10125,,,,,,
20125,,,,,,
30125,,,,,,
40125,,,,,,
50125,,,,,,
60125,,,,,,
10126,,,,,,
20126,,,,,,
30126,,,,,,
40126,,,,,,
50126,,,,,,
60126,,,,,,
10127,,,,,,
20127,,,,,,
30127,,,,,,
40127,,,,,,
50127,,,,,,
60127,,,,,,
10128,,,,,,
20128,,,,,,
30128,,,,,,
40128,,,,,,
50128,,,,,,
60128,,,,,,
10129,,,,,,
20129,,,,,,
